iteration,time
1,5.028222
2,5.475556
3,5.780667
4,6.176617
5,6.271710
6,5.556342
7,5.841217
8,5.863761
9,5.631629
10,5.465611
11,6.238408
12,6.061437
13,5.495850
14,5.391706
15,5.234168
16,5.289553
17,5.396195
18,5.392702
19,5.242692
20,5.222653
21,5.305103
22,5.226403
23,5.379533
24,6.068088
25,5.239964
26,5.310922
27,5.277878
28,5.365218
29,5.938088
30,5.286143
31,5.261745
32,5.226944
33,5.286496
34,5.393381
35,6.386158
36,5.274527
37,5.270523
38,5.321079
39,5.881017
40,5.457294
41,5.409144
42,5.406633
43,5.382837
44,5.354786
45,5.420805
46,5.213954
47,6.183621
48,5.403082
49,5.281690
50,5.433428
51,5.335843
52,5.405426
53,5.165305
54,5.412323
55,5.257811
56,5.174166
57,5.262240
58,5.200046
59,5.353908
60,6.000462
61,5.225866
62,5.384509
63,5.233493
64,5.295756
65,5.245437
66,5.276168
67,5.305272
68,5.233058
69,5.230885
70,5.186915
71,5.190136
72,6.089095
73,5.797014
74,5.348516
75,5.276974
76,5.271453
77,5.180396
78,5.143780
79,5.196398
80,5.173859
81,5.197913
82,5.138231
83,6.046002
84,5.091569
85,5.202433
86,5.642589
87,5.409903
88,5.483101
89,5.292472
90,5.402005
91,5.227668
92,5.336683
93,5.140789
94,5.258384
95,5.991622
96,6.260406
97,6.380723
98,6.381169
99,6.384499
100,6.310527
101,6.278427
102,6.340781
103,6.465352
104,6.406557
105,6.318394
106,6.321969
107,5.193598
108,6.170234
109,5.133988
110,5.499689
111,5.264288
112,5.383653
113,5.464106
114,5.499459
115,6.135441
116,6.149585
117,6.267960
118,5.913974
119,6.132685
120,5.941666
121,5.995634
122,5.780650
123,6.050045
124,5.780262
125,6.027430
126,5.771712
127,5.948345
128,5.839343
129,6.084499
130,5.750178
131,5.899160
132,6.320060
133,6.353565
134,5.869728
135,5.904841
136,5.913380
137,5.843109
138,6.109657
139,5.911096
140,5.745651
141,5.955132
142,5.770880
143,5.985679
144,6.112998
145,5.995375
146,5.924326
147,6.003242
148,5.977982
149,5.755054
150,5.939108
151,5.965476
152,5.885741
153,5.944086
154,5.791466
155,6.049681
156,5.992866
157,5.887354
158,6.005426
159,5.870045
160,6.320112
161,5.710244
162,5.186618
163,5.458017
164,5.242135
165,5.144385
166,5.186128
167,5.148621
168,5.791650
169,5.374432
170,5.236248
171,5.236842
172,5.303033
173,5.263084
174,5.303492
175,5.185635
176,5.133720
177,5.233107
178,5.309722
179,5.251089
180,6.174779
181,5.198763
182,5.284489
183,5.184284
184,5.178340
185,5.176645
186,5.265167
187,5.210759
188,5.277081
189,5.207576
190,5.423102
191,5.154254
192,6.218326
193,5.168978
194,5.145251
195,5.068260
196,5.132020
197,5.043187
198,5.260015
199,5.193846
200,5.299128
201,5.269843
202,5.262104
203,5.268375
204,6.153186
205,5.212143
206,5.191230
207,5.109177
208,5.250393
209,5.302649
210,5.370243
211,5.464062
212,5.143189
213,5.094785
214,5.192181
215,5.326129
216,6.062609
217,5.266644
218,5.071955
219,5.295203
220,5.259578
221,5.119183
222,5.207553
223,5.088033
224,5.284181
225,5.397984
226,5.165855
227,6.151729
228,5.177106
229,5.253808
230,5.280705
231,5.108298
232,5.286301
233,5.510081
234,5.198699
235,5.129298
236,5.250508
237,5.327872
238,5.318501
239,5.270918
240,6.282272
241,5.995456
242,6.142644
243,6.256245
244,6.360460
245,6.041656
246,6.109700
247,6.244401
248,6.265494
249,6.266960
250,6.141040
251,6.276884
252,6.008706
253,5.258684
254,5.369134
255,5.193338
256,5.088191
257,5.345928
258,5.288874
259,5.268975
260,5.270800
261,5.372606
262,5.279984
263,5.819121
264,5.384441
265,5.394267
266,5.430342
267,5.245781
268,5.238323
269,5.304962
270,5.156312
271,5.335777
272,5.312866
273,5.231396
274,5.170330
275,5.313653
276,6.125264
277,5.224988
278,5.213685
279,5.184025
280,5.201437
281,5.304418
282,5.149530
283,5.144217
284,5.161854
285,5.181561
286,5.303727
287,5.937178
288,5.209351
289,5.262411
290,5.236480
291,5.227036
292,5.128593
293,5.349338
294,5.284382
295,5.228713
296,5.244397
297,5.185189
298,5.326916
299,6.152961
300,6.292581
301,5.979195
302,5.910776
303,5.815295
304,6.167500
305,5.998639
306,5.778100
307,6.342490
308,5.766811
309,6.050015
310,5.864884
311,5.181561
312,6.019192
313,5.917840
314,5.032460
315,5.985971
316,5.226798
317,5.125732
318,5.238292
319,5.290813
320,5.212592
321,5.418882
322,5.236000
323,5.731680
324,5.254558
325,5.182372
326,5.158576
327,5.169256
328,5.174195
329,5.341110
330,5.179062
331,5.192272
332,5.194610
333,5.197676
334,6.297793
335,5.801554
336,5.775446
337,5.881303
338,5.736546
339,6.255029
340,5.587870
341,5.020733
342,5.944296
343,5.136612
344,5.239338
345,6.230334
346,5.881029
347,5.205682
348,5.161046
349,5.142427
350,5.257318
351,5.230140
352,5.265523
353,5.174917
354,5.172483
355,5.160480
356,5.168692
357,5.229078
358,6.224588
359,5.218428
360,5.213651
361,5.304719
362,5.368613
363,5.191931
364,5.164894
