iteration,time
1,0.053637
2,0.046364
3,0.046549
4,0.046965
5,0.059473
6,0.049357
7,0.049247
8,0.049336
9,0.049992
10,0.050237
11,0.051455
12,0.049389
13,0.049554
14,0.049700
15,0.049507
16,0.048734
17,0.049780
18,0.048883
19,0.049524
20,0.049128
21,0.049697
22,0.049777
23,0.051384
24,0.050744
25,0.049448
26,0.049274
27,0.049551
28,0.049417
29,0.049091
30,0.049351
31,0.050477
32,0.049854
33,0.050354
34,0.050505
35,0.050252
36,0.051028
37,0.049915
38,0.051070
39,0.052086
40,0.052130
41,0.051502
42,0.050369
43,0.050838
44,0.049324
45,0.049226
46,0.053185
47,0.048895
48,0.051415
49,0.050033
50,0.050142
51,0.049723
52,0.051881
53,0.050984
54,0.052358
55,0.052766
56,0.050912
57,0.050800
58,0.051604
59,0.051332
60,0.051074
61,0.050336
62,0.050749
63,0.051393
64,0.050814
65,0.051211
66,0.050465
67,0.050459
68,0.050357
69,0.049233
70,0.049317
71,0.050717
72,0.048910
73,0.049513
74,0.049221
75,0.049765
76,0.049392
77,0.049411
78,0.049987
79,0.049856
80,0.050060
81,0.049509
82,0.049144
83,0.049284
84,0.049745
85,0.048658
86,0.049344
87,0.049834
88,0.049027
89,0.048755
90,0.049980
91,0.048752
92,0.050092
93,0.051042
94,0.051378
95,0.050146
96,0.051006
97,0.050366
98,0.052303
99,0.050147
100,0.050469
101,0.050544
102,0.049391
103,0.050531
104,0.050007
105,0.049919
106,0.049529
107,0.049357
108,0.049418
109,0.050274
110,0.049345
111,0.048907
112,0.050510
113,0.049965
114,0.048539
115,0.049386
116,0.050355
117,0.048861
118,0.049200
119,0.049819
120,0.049830
121,0.050032
122,0.051030
123,0.049651
124,0.049306
125,0.050627
126,0.052873
127,0.049556
128,0.050834
129,0.049799
130,0.051374
131,0.052623
132,0.050798
133,0.049856
134,0.050139
135,0.050040
136,0.050465
137,0.050732
138,0.049893
139,0.052069
140,0.051179
141,0.050649
142,0.050459
143,0.050653
144,0.050243
145,0.050369
146,0.051522
147,0.049722
148,0.053039
149,0.049382
150,0.050269
151,0.050223
152,0.052149
153,0.049991
154,0.054171
155,0.049781
156,0.050356
157,0.049839
158,0.050638
159,0.049907
160,0.049872
161,0.049671
162,0.048986
163,0.049528
164,0.047838
165,0.048329
166,0.046652
167,0.046523
168,0.046601
169,0.046279
170,0.048424
171,0.047424
172,0.046296
173,0.046334
174,0.051357
175,0.050293
176,0.046446
177,0.048071
178,0.051087
179,0.046286
180,0.046296
181,0.049574
182,0.050525
183,0.050414
184,0.046492
185,0.046950
186,0.047314
187,0.046917
188,0.046451
189,0.046625
190,0.051109
191,0.049762
192,0.046440
193,0.047795
194,0.047114
195,0.046371
196,0.048876
197,0.050719
198,0.046307
199,0.046379
200,0.046432
201,0.051241
202,0.048296
203,0.046309
204,0.046352
205,0.046321
206,0.050230
207,0.050486
208,0.050565
209,0.047083
210,0.050515
211,0.050527
212,0.050958
213,0.047728
214,0.046187
215,0.046083
216,0.048383
217,0.046127
218,0.046449
219,0.048315
220,0.046335
221,0.046764
222,0.048371
223,0.050660
224,0.046359
225,0.046263
226,0.050578
227,0.050161
228,0.046467
229,0.046351
230,0.051709
231,0.046496
232,0.046463
233,0.049368
234,0.049602
235,0.046666
236,0.046265
237,0.049669
238,0.051145
239,0.046479
240,0.046457
241,0.046528
242,0.046226
243,0.050409
244,0.050564
245,0.048683
246,0.048551
247,0.049710
248,0.049137
249,0.046576
250,0.046907
251,0.051071
252,0.049486
253,0.048152
254,0.049706
255,0.048757
256,0.049107
257,0.051188
258,0.051503
259,0.047904
260,0.049924
261,0.047305
262,0.046256
263,0.049697
264,0.048615
265,0.046388
266,0.049574
267,0.051087
268,0.046461
269,0.046733
270,0.046429
271,0.047144
272,0.050328
273,0.046327
274,0.047269
275,0.051136
276,0.046539
277,0.046726
278,0.050649
279,0.046569
280,0.046466
281,0.046594
282,0.046339
283,0.050341
284,0.046647
285,0.047246
286,0.050570
287,0.046683
288,0.046350
289,0.050199
290,0.047710
291,0.046499
292,0.051113
293,0.046678
294,0.046460
295,0.050840
296,0.046382
297,0.046552
298,0.047451
299,0.046379
300,0.047203
301,0.050052
302,0.046302
303,0.046304
304,0.051591
305,0.046291
306,0.046325
307,0.050913
308,0.046332
309,0.046686
310,0.050330
311,0.046421
312,0.046677
313,0.048770
314,0.046448
315,0.046693
316,0.047557
317,0.047137
318,0.046462
319,0.050584
320,0.046854
321,0.046405
322,0.046346
323,0.051019
324,0.046820
325,0.046488
326,0.049570
327,0.046414
328,0.046482
329,0.051013
330,0.046421
331,0.046365
332,0.049202
333,0.046664
334,0.049556
335,0.046977
336,0.046784
337,0.049510
338,0.046417
339,0.048173
340,0.050631
341,0.046452
342,0.046309
343,0.050651
344,0.046538
