iteration,time
1,5.069070
2,5.831614
3,6.003207
4,6.137323
5,6.276232
6,6.384110
7,6.041801
8,6.386416
9,6.571508
10,5.925462
11,6.187776
12,6.299358
13,6.036343
14,6.432908
15,6.080689
16,5.991010
17,6.028430
18,6.004148
19,6.042128
20,5.992611
21,5.977638
22,6.003222
23,5.736826
24,5.918230
25,6.144231
26,6.000662
27,5.835620
28,5.990109
29,5.849345
30,6.218619
31,5.844859
32,5.977506
33,5.741396
34,5.748595
35,5.974170
36,5.785895
37,5.921952
38,5.922800
39,6.096750
40,6.110513
41,5.880702
42,5.992679
43,5.818169
44,6.017498
45,6.046292
46,6.001163
47,5.894172
48,5.948740
49,6.116527
50,5.947479
51,5.468472
52,5.923989
53,5.965104
54,5.671853
55,5.920811
56,5.682042
57,5.877322
58,5.908544
59,5.514596
60,5.989431
61,5.752186
62,5.817186
63,5.639911
64,5.460017
65,5.620778
66,5.810697
67,5.876983
68,5.496763
69,5.672424
70,5.615059
71,5.584363
72,5.544092
73,6.219117
74,5.836630
75,5.654901
76,5.882156
77,5.938968
78,5.898189
79,5.731799
80,5.987252
81,6.035091
82,5.921435
83,5.759180
84,5.849019
85,6.058187
86,5.570879
87,5.950587
88,5.849280
89,5.934091
90,5.973874
91,5.982086
92,6.033772
93,5.728167
94,5.931347
95,5.504615
96,6.083539
97,6.149221
98,6.111447
99,6.087275
100,6.185505
101,5.885897
102,6.060831
103,6.441081
104,6.270869
105,6.377822
106,6.158930
107,6.036255
108,5.864279
109,5.923222
110,6.042884
111,6.144867
112,5.858221
113,5.805392
114,6.013723
115,5.729030
116,5.997502
117,6.081658
118,6.037616
119,5.924464
120,6.009314
121,5.748939
122,5.969755
123,5.960839
124,5.800020
125,5.977742
126,5.851675
127,5.845861
128,6.136516
129,5.871405
130,5.755370
131,5.985087
132,6.047121
133,6.509688
134,5.807513
135,5.654458
136,5.864214
137,5.880504
138,5.850648
139,5.852955
140,5.834483
141,5.873334
142,5.853021
143,5.776921
144,5.931407
145,6.238487
146,5.788089
147,5.875554
148,6.022737
149,5.926240
150,5.804007
151,5.903592
152,5.772894
153,5.780217
154,5.830186
155,5.808766
156,5.849215
157,6.038943
158,5.886437
159,5.956077
160,6.355930
161,5.954602
162,5.777536
163,5.604509
164,5.926199
165,5.685785
166,5.547625
167,6.051921
168,5.979693
169,5.680399
170,6.167469
171,5.572459
172,5.642021
173,5.678138
174,5.954888
175,5.877217
176,5.928326
177,5.991991
178,5.677224
179,5.780574
180,5.522102
181,6.089023
182,5.832089
183,6.089233
184,5.694409
185,5.447021
186,6.005535
187,5.720753
188,5.672334
189,5.528390
190,6.003072
191,5.852041
192,5.796586
193,5.813285
194,5.602521
195,5.784368
196,5.934245
197,5.854028
198,5.992444
199,5.626942
200,5.637221
201,5.770902
202,5.521416
203,5.801330
204,5.674670
205,6.060820
206,5.569703
207,5.554805
208,5.941382
209,5.861961
210,5.609479
211,6.069976
212,6.048017
213,6.062105
214,5.893782
215,5.978587
216,5.895777
217,5.915029
218,5.988319
219,6.035819
220,5.875452
221,5.846960
222,6.041941
223,6.003225
224,6.124321
225,5.857856
226,5.935859
227,6.268362
228,5.955137
229,5.857085
230,5.642669
231,5.980254
232,5.870567
233,5.863534
234,5.965085
235,5.683011
236,5.809226
237,5.801767
238,5.979385
239,5.968569
240,5.943005
241,5.823930
242,6.223069
243,6.032415
244,6.322455
245,5.919159
246,6.003765
247,5.947453
248,5.869698
249,5.744682
250,6.427498
251,6.228895
252,6.354331
253,5.927766
254,5.936158
255,5.911817
256,5.705128
257,6.155774
258,5.912141
259,5.901326
260,6.070302
261,5.798085
262,5.793880
263,6.061235
264,5.890183
265,6.003975
266,5.764533
267,5.983730
268,5.641024
269,5.816757
270,6.009542
271,5.938945
272,5.848930
273,5.829475
274,5.831541
275,6.084502
276,5.794116
277,6.062601
278,5.653916
279,6.048035
280,5.650343
281,5.860312
282,6.032623
283,5.843878
284,6.029148
285,5.521905
286,5.831231
287,5.905163
288,5.823925
289,5.733984
290,5.545341
291,5.917232
292,5.622578
293,5.920619
294,5.727703
295,5.943382
