iteration,time
1,0.169107
2,0.048426
3,0.047658
4,0.048105
5,0.050268
6,0.050261
7,0.050131
8,0.052257
9,0.051090
10,0.049675
11,0.050855
12,0.050338
13,0.049804
14,0.050446
15,0.050875
16,0.049589
17,0.049790
18,0.049966
19,0.049896
20,0.050656
21,0.050944
22,0.050444
23,0.051816
24,0.051572
25,0.050836
26,0.050011
27,0.049985
28,0.050422
29,0.050646
30,0.050285
31,0.050207
32,0.051313
33,0.050914
34,0.050595
35,0.050525
36,0.051112
37,0.052314
38,0.051254
39,0.051660
40,0.054586
41,0.053674
42,0.050157
43,0.051719
44,0.051391
45,0.050875
46,0.053038
47,0.050605
48,0.050084
49,0.051017
50,0.050851
51,0.050803
52,0.050686
53,0.052317
54,0.051809
55,0.051599
56,0.051957
57,0.051522
58,0.053912
59,0.051928
60,0.050876
61,0.051688
62,0.050845
63,0.051744
64,0.052812
65,0.052498
66,0.053266
67,0.051598
68,0.050608
69,0.053108
70,0.050775
71,0.050058
72,0.051742
73,0.049415
74,0.050805
75,0.049450
76,0.050325
77,0.050565
78,0.049186
79,0.050465
80,0.049655
81,0.049903
82,0.050376
83,0.049413
84,0.050488
85,0.050099
86,0.050313
87,0.048549
88,0.050515
89,0.049822
90,0.050577
91,0.050448
92,0.049504
93,0.051062
94,0.050403
95,0.049856
96,0.051738
97,0.051038
98,0.050921
99,0.050858
100,0.050273
101,0.051231
102,0.049917
103,0.050546
104,0.050673
105,0.050486
106,0.050255
107,0.049918
108,0.050228
109,0.049752
110,0.049204
111,0.050630
112,0.049650
113,0.049690
114,0.049985
115,0.049993
116,0.049701
117,0.049852
118,0.049693
119,0.050378
120,0.049285
121,0.050567
122,0.051167
123,0.050078
124,0.050160
125,0.050604
126,0.051751
127,0.049416
128,0.051183
129,0.050923
130,0.050017
131,0.050912
132,0.050956
133,0.050609
134,0.051382
135,0.050943
136,0.051343
137,0.050657
138,0.050917
139,0.051754
140,0.051983
141,0.052013
142,0.051620
143,0.050397
144,0.050928
145,0.049813
146,0.050773
147,0.050726
148,0.049762
149,0.051182
150,0.051342
151,0.050193
152,0.051711
153,0.050095
154,0.050175
155,0.051121
156,0.049990
157,0.050085
158,0.049920
159,0.051171
160,0.050683
161,0.050124
162,0.050088
163,0.050157
164,0.047581
165,0.050384
166,0.050687
167,0.047138
168,0.051371
169,0.046623
170,0.047573
171,0.051170
172,0.046863
173,0.047312
174,0.047735
175,0.047735
176,0.046987
177,0.046913
178,0.050975
179,0.047590
180,0.046910
181,0.051839
182,0.050614
183,0.051038
184,0.047326
185,0.047353
186,0.048739
187,0.050362
188,0.050323
189,0.047027
190,0.051494
191,0.048173
192,0.051171
193,0.046980
194,0.050382
195,0.047233
196,0.047268
197,0.048567
198,0.047072
199,0.046596
200,0.047134
201,0.047942
202,0.049815
203,0.047571
204,0.047259
205,0.050351
206,0.049088
207,0.051045
208,0.051098
209,0.047243
210,0.051186
211,0.050208
212,0.050848
213,0.050600
214,0.046806
215,0.047748
216,0.050835
217,0.046914
218,0.046789
219,0.046498
220,0.051044
221,0.046596
222,0.050471
223,0.048712
224,0.047224
225,0.047068
226,0.050793
227,0.049914
228,0.046859
229,0.046948
230,0.049948
231,0.050068
232,0.048050
233,0.049690
234,0.050288
235,0.046929
236,0.046647
237,0.049982
238,0.049923
239,0.047130
240,0.047364
241,0.051097
242,0.046596
243,0.047532
244,0.050413
245,0.053781
246,0.050191
247,0.049921
248,0.051553
249,0.048052
250,0.047343
251,0.052400
252,0.049983
253,0.048344
254,0.048462
255,0.050277
256,0.047714
257,0.047471
258,0.049615
259,0.048511
260,0.048364
261,0.050734
262,0.047485
263,0.047589
264,0.049596
265,0.048081
266,0.048067
267,0.050997
268,0.047686
269,0.047901
270,0.050239
271,0.047408
272,0.047879
273,0.050757
274,0.047429
275,0.047690
276,0.048029
277,0.048567
278,0.050334
279,0.047888
280,0.048514
281,0.051405
282,0.047656
283,0.047823
284,0.050198
285,0.047729
286,0.047563
287,0.049946
288,0.047335
289,0.048210
290,0.047619
291,0.047398
292,0.050191
293,0.047780
294,0.047917
295,0.051462
296,0.048487
297,0.048161
298,0.050258
299,0.047347
300,0.047648
301,0.050526
302,0.047589
303,0.047704
304,0.050113
305,0.048019
306,0.047496
307,0.050690
308,0.048792
309,0.047443
310,0.047180
311,0.047563
312,0.047731
313,0.047743
314,0.052031
315,0.047129
316,0.047421
317,0.050145
318,0.048069
319,0.047380
320,0.049680
321,0.047834
322,0.048630
323,0.050701
324,0.049837
325,0.047403
326,0.047823
327,0.047852
328,0.047616
329,0.051101
330,0.047653
331,0.047240
332,0.047657
333,0.047474
334,0.048082
335,0.048294
336,0.047612
337,0.048132
338,0.048608
339,0.048834
340,0.050744
341,0.047513
342,0.047936
343,0.049059
344,0.049543
345,0.047966
346,0.047874
347,0.050221
348,0.047901
349,0.047778
350,0.050112
351,0.047492
352,0.047384
353,0.050602
354,0.047601
355,0.047603
356,0.050398
357,0.048421
358,0.047520
359,0.047791
360,0.050945
361,0.047728
362,0.047964
363,0.050985
364,0.047962
365,0.047924
366,0.050533
367,0.050138
368,0.047575
369,0.051150
370,0.048483
371,0.048755
372,0.050710
373,0.048097
374,0.047519
375,0.049770
376,0.047706
377,0.047954
378,0.051670
379,0.048050
380,0.048404
381,0.049997
382,0.047622
383,0.047666
384,0.050868
385,0.047783
386,0.050416
387,0.047486
388,0.046975
389,0.051793
390,0.047144
391,0.047039
392,0.050210
393,0.047323
394,0.046624
395,0.050394
396,0.046561
397,0.047052
398,0.048405
399,0.050572
400,0.050386
401,0.046840
402,0.047309
403,0.049663
404,0.047149
405,0.046936
406,0.049648
407,0.047305
408,0.047695
409,0.047401
410,0.046865
411,0.047122
412,0.047513
413,0.047202
414,0.046957
415,0.047251
416,0.046765
417,0.047328
418,0.047159
419,0.050267
420,0.052394
421,0.047032
422,0.048132
423,0.050375
424,0.051272
425,0.051677
426,0.050441
427,0.050447
428,0.050180
429,0.049489
430,0.049986
431,0.050475
432,0.050674
433,0.050212
434,0.050541
435,0.049953
436,0.048435
437,0.050014
438,0.051764
439,0.050834
440,0.050985
441,0.051201
442,0.051134
443,0.050577
444,0.050702
445,0.050613
446,0.050405
447,0.050871
448,0.048701
449,0.052244
450,0.051196
451,0.053459
452,0.053280
453,0.050731
454,0.051484
455,0.052502
456,0.050449
457,0.047558
458,0.047282
459,0.051694
460,0.047392
461,0.047129
462,0.050856
463,0.047063
464,0.046960
465,0.049823
466,0.050964
467,0.052152
468,0.051583
469,0.051210
470,0.051618
471,0.051171
472,0.051368
473,0.051048
474,0.050860
475,0.051073
476,0.051446
477,0.051557
478,0.050377
479,0.049696
480,0.051548
481,0.050577
482,0.051375
483,0.050618
484,0.050048
485,0.047464
486,0.050274
487,0.051365
488,0.051191
489,0.050003
490,0.051341
491,0.046780
492,0.046753
493,0.046597
494,0.047214
495,0.047077
496,0.050678
497,0.047650
498,0.050303
499,0.052429
